,r,Hx,CHx,CHxA,PiEgoGalters,PiEgoGaltersAndEgo
0,1,11.07385,11.07385,7.218479,0.11010579407243788,0.4765077011863095
1,2,9.184754,8.372347,7.29384,0.37574110090780805,0.47008175943865277
2,3,8.255606,7.308625,7.222536,0.4688186631576397,0.47616228380826353
3,4,10.630849,7.211174,7.313286,0.47712950873115384,0.46842030582601657
4,5,13.762623,7.209678,7.381208,0.4772568259936604,0.4626063328761495
5,6,9.058626,7.171291,7.384227,0.48052103265451096,0.4623475229976628
6,7,11.529386,7.131742,7.504094,0.48387858572030484,0.45204458264598646
7,8,11.595958,7.09782,7.599807,0.48675403383493165,0.44377934591346135
8,9,11.29735,7.067139,7.667945,0.4893512748393064,0.43787422131747106
9,10,14.492019,7.067139,7.721731,0.4893512748393064,0.43320034544164204
10,11,14.046442,7.067139,7.757845,0.4893512748393064,0.4300558498628471
11,12,10.553782,7.043268,7.779082,0.491369751646792,0.4282043453396388
12,13,14.354112,7.043268,7.818575,0.491369751646792,0.4247565342349395
13,14,9.44208,6.907791,7.795268,0.5027879367851432,0.4267920180588518
14,15,12.028804,6.8817,7.829286,0.5049796673409176,0.4238203871312963
15,1,6.34526,6.34526,5.739561,0.5515535960881129,0.6004826914665935
16,2,6.526863,6.117059,5.672043,0.5701223588010689,0.6058665946814383
17,3,13.736237,6.103013,5.665594,0.5712599324546432,0.6063801111963855
18,4,14.026266,6.101154,5.664786,0.5714104450556425,0.6064444411175381
19,5,8.28513,5.944505,5.58048,0.5840547394182013,0.6131456363815982
20,6,6.99887,5.836194,5.537594,0.5927528611679642,0.6165462023783695
21,7,7.198751,5.73814,5.490975,0.6005961459758254,0.620236438339289
22,8,11.028659,5.721688,5.482533,0.6019092454041398,0.6209039801145314
23,9,6.278303,5.48416,5.333487,0.6207753436906108,0.6326541306762856
24,10,8.73431,5.450565,5.312965,0.6234298582962731,0.6342667443853578
25,11,6.420776,5.363538,5.256877,0.6302904387704085,0.6386676517653144
26,12,7.321889,5.348206,5.248318,0.6314967331942076,0.6393383948697321
27,13,6.799389,5.272666,5.183267,0.6374297366408063,0.6444290429464093
28,14,6.39523,5.212317,5.140978,0.6421572713530312,0.6477315982587297
29,15,6.468929,5.198519,5.130904,0.6432366206000306,0.6485175338364283
30,1,6.765908,6.765908,6.158236,0.5144610571314329,0.5646591400111286
31,2,6.75776,6.231167,5.963396,0.5586979375590482,0.5805018778188465
32,3,9.386211,6.121987,5.895873,0.5676157241782476,0.585964305384308
33,4,6.618997,5.867578,5.744574,0.5882490398311351,0.598152154842935
34,5,6.823642,5.693745,5.628861,0.6022306667767852,0.6074253068509958
35,6,12.52585,5.680924,5.61819,0.6032581554835561,0.6082783836893504
36,7,8.317779,5.652345,5.596065,0.6055466735777667,0.6100460116636954
37,8,8.405758,5.599782,5.551702,0.6097491558681178,0.6135857417868453
38,9,6.7219,5.523745,5.488449,0.6158133174218485,0.6186222170675656
39,10,6.627077,5.488063,5.459161,0.6186529142385347,0.6209500835155779
40,11,6.694303,5.418562,5.403838,0.6241726116557911,0.6253400727665633
41,12,7.043624,5.372177,5.360822,0.6278482114000883,0.628746989637944
42,13,6.860593,5.309833,5.304007,0.6327780371234077,0.6332381179415718
43,14,6.750588,5.266863,5.267373,0.6361689498787825,0.6361287370913562
44,15,6.741358,5.214098,5.219432,0.6403251036223029,0.6399053453486132
45,1,7.373234,7.373234,6.492338,0.482655189758858,0.553549474486053
46,2,6.837377,6.714511,6.295359,0.535888076061278,0.5690884117316123
47,3,8.788505,6.478802,6.210363,0.5546208572445203,0.5757591025209626
48,4,10.4477,6.413136,6.172075,0.5598108458247059,0.578757322910866
49,5,6.914202,6.294256,6.120819,0.5691751097791918,0.5827645234982132
50,6,10.042485,6.237314,6.088261,0.5736461512240418,0.5853060530391149
51,7,9.733099,6.206121,6.067327,0.5760914860872737,0.5869386139904248
52,8,7.959475,6.175833,6.049408,0.5784632291411499,0.588335065433645
53,9,11.260436,6.15347,6.035451,0.5802127242944525,0.5894221263810784
54,10,7.50676,6.015135,5.940487,0.5910034873884272,0.5968039968274962
55,11,7.227547,5.86569,5.818629,0.6026004254440731,0.6062394294058431
56,12,8.988341,5.84227,5.80366,0.6044121552911608,0.6073956166755768
57,13,7.617025,5.820928,5.78932,0.606061802140932,0.6085026353895616
58,14,12.022923,5.818363,5.787522,0.606259980369953,0.6086413969212141
59,15,9.225889,5.787904,5.763005,0.608611916636809,0.6105326106762401
60,1,9.75429,9.75429,6.288906,0.2570245063518156,0.5592214171421793
61,2,7.798909,8.067675,6.203743,0.41015810884458226,0.5660974240083917
62,3,7.130676,7.827692,6.185427,0.4309188241126095,0.567573326298012
63,4,11.299366,7.698656,6.149933,0.4419917303300974,0.5704304981047446
64,5,9.389554,7.589926,6.120336,0.45127468435627505,0.5728100246557345
65,6,6.994346,7.533605,6.108406,0.45606637354423873,0.5737684095679705
66,7,12.703052,7.482947,6.091569,0.46036659179339073,0.5751202534592643
67,8,7.749223,7.329762,6.061991,0.4733150406727589,0.5774929780557334
68,9,7.292633,6.687767,5.906874,0.5267162266515927,0.5898928065718021
69,10,5.51167,6.667401,5.900666,0.5283881500659415,0.5903875488147649
70,11,9.413453,6.66318,5.899685,0.5287345021191887,0.5904657182826846
71,12,7.151023,6.66318,5.899685,0.5287345021191887,0.5904657182826846
72,13,7.043549,6.561243,5.861517,0.5370816429540947,0.5935048227623329
73,14,7.574703,6.505357,5.836961,0.5416438966889022,0.5954577593996235
74,15,13.189109,6.500257,5.833759,0.5420597443981711,0.5957122804467136
