,r,Hx,CHx,Ne,Ve,Na,Va,PiEgoGalter,PiEgoGalters
0,1,7.344113,7.344113,28534,4623,205,131,0.4787863727473782,0.4787863727473782
1,2,8.71701,8.266021,28534,4623,44966,7065,0.3615178618733925,0.40082045217199885
2,3,8.557955999999999,8.087332,28534,4623,10191,3140,0.3754735174578753,0.41617148895738215
3,4,11.270733,7.971959,28534,4623,31481,6207,0.11698388416512912,0.42601971167042996
4,5,13.377147,7.951557000000001,28534,4623,23215,4628,0.0,0.4277561494552294
5,6,14.573654000000001,7.9501100000000005,28534,4623,32333,3343,0.0,0.42787924786514225
6,7,9.123239,7.949572,28534,4623,757,402,0.3253732249714723,0.42792501437596026
7,8,8.330169999999999,7.826128,28534,4623,9454,1871,0.3952796671653845,0.43839856941971933
8,9,9.207751,7.613903,28534,4623,27728,4057,0.31775759505661855,0.4562788206657866
9,10,7.391407000000001,7.484586999999999,28534,4623,4408,1639,0.47485844716703396,0.4670977353736823
10,11,10.529216,7.452885,28534,4623,39975,7569,0.19331157317388542,0.46974137202408844
11,12,8.050961000000001,7.373044,28534,4623,9333,3344,0.41928140757921845,0.4763844362881448
12,13,13.094566,7.373044,28534,4623,8907,6595,0.0,0.4763844362881448
13,14,12.537933,7.353364999999999,28534,4623,32926,8330,0.0,0.478018545744998
14,15,13.897079999999999,7.353364999999999,28534,4623,16939,8121,0.0,0.478018545744998
15,1,10.867799,10.867799,41683,5218,25015,4093,0.17392602038506869,0.17392602038506869
16,2,13.083084,10.808561,41683,5218,18765,3575,0.0,0.17977361967108182
17,3,7.581858,7.91338,41683,5218,8762,2071,0.46675464194846705,0.43930412483706766
18,4,12.103081,7.872542,41683,5218,20965,3916,0.03925880577999141,0.44270531842234795
19,5,12.094592,7.84691,41683,5218,12745,2850,0.04035321566288294,0.44483720704367385
20,6,12.602997,7.786289999999999,41683,5218,38938,6710,0.0,0.44987039261142675
21,7,12.810436,7.759142999999999,41683,5218,39035,5916,0.0,0.4521203990721765
22,8,8.248133000000001,7.519988000000001,41683,5218,3201,1628,0.41120737575105565,0.4718377883353901
23,9,12.001907000000001,7.457088000000001,41683,5218,42513,6102,0.051973321120526654,0.47699300577583287
24,10,7.946257000000001,7.00127,41683,5218,14961,3596,0.4365618546414713,0.5139823554668846
25,11,9.204363,6.776177000000001,41683,5218,27732,3880,0.32862194407096407,0.5320160003787104
26,12,7.357765,6.423887000000001,41683,5218,27828,3575,0.48510789764968754,0.5599419219578854
27,13,6.604421,6.343430000000001,41683,5218,3452,1242,0.5456760030235244,0.5662695796751142
28,14,13.459970000000002,6.340504,41683,5218,38051,4458,0.0,0.5664993515448479
29,15,7.1699720000000005,6.17436,41683,5218,26350,4306,0.5003668288132878,0.5795064371130113
30,1,9.578661,9.578661,34201,6693,3294,1230,0.3171847724930878,0.3171847724930878
31,2,12.790084,9.636692,34201,6693,38041,4685,0.0,0.31217576073963615
32,3,9.818503,8.414795,34201,6693,15869,4272,0.2963866918505147,0.4148825942656423
33,4,9.942785,7.978419000000001,34201,6693,34770,5836,0.28550672493415286,0.4503121998861744
