,r,Hx,CHx,Ne,Ve,Na,Va,PiEgoGalter,PiEgoGalters
0,1,10.122336,10.122336,28534,4623,29244,11635,0.2328620462861757,0.2328620462861757
1,2,7.596744999999999,8.444529,28534,4623,5117,2894,0.4577175823689198,0.3853620450273453
2,3,8.548302,8.273809,28534,4623,7400,4133,0.37631718880358,0.400148624070805
3,4,7.372211,8.221332,28534,4623,1107,840,0.4764536331397655,0.4046710193821029
4,5,8.399503999999999,7.944381,28534,4623,13935,6673,0.38927295195346023,0.4283665477296934
5,6,13.476442,7.922025,28534,4623,29241,11481,0.0,0.4302669777521211
6,7,13.320917000000001,7.897944,28534,4623,31728,12088,0.0,0.4323120275923632
7,8,8.452197,7.591023,28534,4623,30729,12871,0.3846951898089431,0.4581971689871661
8,9,7.941603999999999,7.301769,28534,4623,23571,10557,0.42860271223390767,0.4822969149392032
9,10,10.4413,7.274927000000001,28534,4623,21854,9213,0.20197083423649004,0.48451920748150934
10,11,13.659785000000001,7.270469,28534,4623,29974,11622,0.0,0.48488806394773787
11,12,13.570882999999998,7.266271000000001,28534,4623,27462,10998,0.0,0.4852353484941343
12,13,13.267534,7.263291000000001,28534,4623,17462,7521,0.0,0.48548183757482033
13,14,13.296710000000001,7.261914,28534,4623,19511,8344,0.0,0.48559572557787495
14,15,13.563745999999998,7.256292,28534,4623,31545,12223,0.0,0.48606064195625964
15,1,8.51723,8.51723,41683,5218,28560,12236,0.3883299225219657,0.3883299225219657
16,2,12.077838999999999,8.418132,41683,5218,29495,11610,0.04249649650640006,0.3967859984326816
17,3,8.622748,8.414401,41683,5218,764,577,0.3792849946697714,0.39710364785977614
18,4,8.779203,8.249779,41683,5218,12134,5717,0.365793798300026,0.41106824615984444
19,5,8.069108,7.6061559999999995,41683,5218,21423,9795,0.4262820654679543,0.4647549831729061
20,6,7.281567999999999,7.401144,41683,5218,4604,2999,0.4913123827932239,0.4815675681774277
21,7,8.993902,7.373953,41683,5218,6358,3239,0.34711876184120793,0.4837874228296653
22,8,7.503749000000001,7.251253,41683,5218,7200,4311,0.4731699272430582,0.49377582025164685
