,ID1,ID2,H1,H2,Hx1G2,Hx2G1,N1m2,N2m1,R2b1,R1b2,N1,N2,Nuniq1,Nuniq2,Ntweets1,Nfriends1,Nmentions1,Ntweets2,Nfriends2,Nmentions2,KL12,KL21,Pi1,Pi2,Pix1G2,Pix2G1
0,e4e41eedc9705da83bf04c1520357f1445d30974719968af293347deeb94272d,114267215022192523699911c28ccfdad49e45387b1652fb4c4457818ef05be5,6.6899960000000025,6.433268,11.07385,11.703438,54,0,1,0,14536,31971,3775,5027,2123,60,264,2942,456,1387,4.383854,5.2701699999999985,0.5210125858013078,0.557325372498795,0.11010579407243787,0.08117504656186607
1,e4e41eedc9705da83bf04c1520357f1445d30974719968af293347deeb94272d,9f78252bf76f1135cfeb59c2b1349e83a2f46e5bee5a49634d942db437277428,6.6899960000000025,6.783548,9.184754,7.315886999999999,26,5,2,29,14536,22718,3775,4435,2123,60,264,2751,84,971,2.494757999999999,0.5323389999999995,0.5210125858013078,0.5224684309785396,0.30129895598491324,0.478536262097108
2,e4e41eedc9705da83bf04c1520357f1445d30974719968af293347deeb94272d,f8c521c29a5ffcdec0e9b3ccf0c4a61a2cc5b380daed3a4b8976fe18d8739a6e,6.6899960000000025,6.616375,8.255606,7.743572,12,4,3,26,14536,30936,3775,4812,2123,60,264,2940,50,1038,1.5656099999999995,1.1271970000000011,0.5210125858013078,0.5404636368576268,0.3861816817214238,0.4480622420222515
3,e4e41eedc9705da83bf04c1520357f1445d30974719968af293347deeb94272d,987b7e8312a6518aad14bb5c407a61fa529b82649414c0379dbaab5f832a6617,6.6899960000000025,6.756339,10.630849000000001,13.666234,5,0,4,0,14536,25872,3775,5402,2123,60,264,2072,436,1238,3.9408530000000006,6.909895,0.5210125858013078,0.5354493939555819,0.15833751990033942,0.0
5,e4e41eedc9705da83bf04c1520357f1445d30974719968af293347deeb94272d,d3ac3a55a7d63c0eb3d7dd480f2660d921ef5b61b2883e73d67e5cc30fd6b1f0,6.6899960000000025,3.621653,9.058626,7.174397,4,2,6,4,14536,5242,3775,1009,2123,60,264,811,6,80,2.36863,3.552744,0.5210125858013078,0.7224176015386273,0.3130772997771614,0.3767129211845937
6,e4e41eedc9705da83bf04c1520357f1445d30974719968af293347deeb94272d,ff43b1311b5fbfacb40da2028c00fe011959de6be7ad27cd8181447cdd9bedcf,6.6899960000000025,6.605219,11.529386,10.115482,3,0,7,0,14536,38207,3775,5844,2123,60,264,2839,387,1432,4.83939,3.510263,0.5210125858013078,0.5514194413852942,0.055803286955645036,0.2573174465542414
7,e4e41eedc9705da83bf04c1520357f1445d30974719968af293347deeb94272d,301d4e084f537e5c2c74b34e5e3f6d56b675f83d783bed1c3a763d06607f88f2,6.6899960000000025,6.493772,11.595958,8.805088,3,0,8,0,14536,36821,3775,5432,2123,60,264,2860,972,1796,4.905961999999999,2.311316,0.5210125858013078,0.5564609609004204,0.0471307617043314,0.3667319295641479
8,e4e41eedc9705da83bf04c1520357f1445d30974719968af293347deeb94272d,c5e09e150c0f7205315c089279651b95fb6c2bbed5e45c4d45c59bf1b41a4474,6.6899960000000025,6.640878,11.29735,11.064551,3,0,9,0,14536,35543,3775,6112,2123,60,264,2173,796,1598,4.607353999999999,4.423673,0.5210125858013078,0.5509039471882325,0.0843045620741197,0.1731268446914898
11,e4e41eedc9705da83bf04c1520357f1445d30974719968af293347deeb94272d,233f71db924bff8da4ed5a59e25e81956450dd03e1c95419d6b6e66b58a8b437,6.6899960000000025,6.518397,10.553782,12.91473,2,0,12,0,14536,18510,3775,3754,2123,60,264,2203,961,1208,3.8637859999999993,6.396333,0.5210125858013078,0.5349499661966453,0.16643714012506378,0.0
13,e4e41eedc9705da83bf04c1520357f1445d30974719968af293347deeb94272d,7c9d46a6ddbae8cfb5d50a265c7d1478597df8cc870df51481c2a28d39ba33b7,6.6899960000000025,6.285914,9.44208,7.0265889999999995,2,3,14,35,14536,26229,3775,3823,2123,60,264,2887,63,958,2.752084,0.7406749999999995,0.5210125858013078,0.5550728271274546,0.2769856285085458,0.4935586582039861
